parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,popular,regex,automl_enabled,math_cond,parent_param,depends_on
data,,collection,Input data parameters,,,,,,,,,FALSE,,,
data.input_format,,string,Input data format,COCO,,,,,,,,FALSE,,,
data.output_format,,string,Output data format,KITTI,,,,,,,,FALSE,,,
kitti,,collection,KITTI data details,,,,,,,,,FALSE,,,
kitti.image_dir,,hidden,KITTI image directory,,,,,,,,,FALSE,,,
kitti.label_dir,,hidden,KITTI label directory,,,,,,,,,FALSE,,,
kitti.project,,string,,annotations,,,,,,,,FALSE,,,
coco,,collection,KITTI data details,,,,,,,,,FALSE,,,
coco.ann_file,,hidden,COCO annotation file,,,,,,,,,FALSE,,,
results_dir,,hidden,,,,,,,,,,FALSE,,,
