parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,popular,regex,automl_enabled,math_cond,parent_param,depends_on
version,Schema Version,const,The version of this schema,1,,,,,,,,FALSE,,,
results_dir,Output Directory,hidden,The output directory,,,,,,,,,FALSE,,,
encryption_key,Encryption Key,string,The user-specific encoding key to save or load a .tlt model,nvidia_tao,,,,,,,,FALSE,,,
model,Model Config,collection,The configuration for the model architecture,,,,,,,,,FALSE,,,
model.model_type,Model Type,string,"The type of model,which can only be ST-GCN for now. Newer architectures will be supported in the future.",ST-GCN,,,,ST-GCN,,,,FALSE,,,
model.input_channels,Input Channels,int,The number of input channels (dimension of body poses),3,,,,,,,,FALSE,,,
model.dropout,Dropout Probability,float,The probability to drop hidden units,0.5,,0,1,,,,,FALSE,,,
model.graph_layout,Graph Layout,ordered,"The layout of the graph for modeling skeletons. It can be nvidia,openpose,human3.6m,ntu-rgb+d,ntu_edge,or coco.",openpose,,,,"nvidia,openpose,human3.6m,ntu-rgb+d,ntu_edge,coco",,,,FALSE,,,
model.graph_strategy,Graph Strategy,ordered,"The strategy of the graph for modeling skeletons. It can be uniform,distance,or spatial.",spatial,,,,"uniform,distance,spatial",,,,FALSE,,,
model.edge_importance_weighting,Edge Importance Weighting,bool,Specifies whether to enable edge importance weighting,TRUE,,,,,,,,FALSE,,,
dataset,Dataset Config,collection,The configuration for the dataset,,,,,,,,,FALSE,,,
dataset.num_classes,Number of Classes,int,The number of action classes,5,,0,,,,,,FALSE,,,
dataset.label_map_kinetics,Label Map,collection,Map from labels to IDs,"{""front_raises"": 0,""pull_ups"": 1,""clean_and_jerk"": 2,""presenting_weather_forecast"": 3,""deadlifting"": 4}",,,,,,,,FALSE,,,
dataset.label_map_nvidia,Label Map,collection,Map from labels to IDs,"{""sitting_down"": 0,""getting_up"": 1,""sitting"": 2,""standing"": 3,""walking"": 4,""jumping"": 5}",,,,,,,,FALSE,,,
dataset.batch_size,Batch Size,int,The batch size for training and validation,16,,0,,,,,,FALSE,,,
dataset.num_workers,Workers,int,The number of parallel workers processing data,1,,0,,,,,,FALSE,,,
inference,Inference Config,collection,The configuration for the inference process,,,,,,,,,FALSE,,,
inference.results_dir,Output Directory,hidden,The output directory for inference,,,,,,,,,FALSE,,,
inference.checkpoint,Model,hidden,Model to perform inference with,,,,,,,,,FALSE,,,
inference.output_file,Output File,hidden,The path to the output text file,,,,,,,,,FALSE,,,
inference.test_dataset,Testing Dataset,collection,The testing dataset parameters,,,,,,,,,FALSE,,,
inference.test_dataset.data_path,Testing Data Path,hidden,The path to the testing data in a NumPy array,,,,,,,,,FALSE,,,
inference.gpu_id,GPU ID,int,The GPU ID,0,,,,,,,,FALSE,,,
