parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,popular,regex,automl_enabled,math_cond,parent_param,depends_on
version,Schema Version,const,The version of this schema,1,,,,,,,,FALSE,,,
results_dir,Output Directory,hidden,The output directory,,,,,,,,,FALSE,,,
encryption_key,Encryption Key,string,The user-specific encoding key to save or load a .tlt model,nvidia_tao,,,,,,,,FALSE,,,
model,Model Config,collection,The configuration for the model architecture,,,,,,,,,FALSE,,,
model.model_type,Model Type,string,"The type of model,which can only be ST-GCN for now. Newer architectures will be supported in the future.",ST-GCN,,,,ST-GCN,,,,FALSE,,,
model.input_channels,Input Channels,int,The number of input channels (dimension of body poses),3,,,,,,,,FALSE,,,
model.dropout,Dropout Probability,float,The probability to drop hidden units,0.5,,0,1,,,,,FALSE,,,
model.graph_layout,Graph Layout,ordered,"The layout of the graph for modeling skeletons. It can be nvidia,openpose,human3.6m,ntu-rgb+d,ntu_edge,or coco.",openpose,,,,"nvidia,openpose,human3.6m,ntu-rgb+d,ntu_edge,coco",,,,FALSE,,,
model.graph_strategy,Graph Strategy,ordered,"The strategy of the graph for modeling skeletons. It can be uniform,distance,or spatial.",spatial,,,,"uniform,distance,spatial",,,,FALSE,,,
model.edge_importance_weighting,Edge Importance Weighting,bool,Specifies whether to enable edge importance weighting,TRUE,,,,,,,,FALSE,,,
dataset,Dataset Config,collection,The configuration for the dataset,,,,,,,,,FALSE,,,
dataset.train_dataset,Training Dataset,collection,The training dataset parameters,,,,,,,,,FALSE,,,
dataset.train_dataset.data_path,Training Data Path,hidden,The path to the training data in a NumPy array,,,,,,,,,FALSE,,,
dataset.train_dataset.label_path,Training Label Path,hidden,The path to the training labels in a pickle file,,,,,,,,,FALSE,,,
dataset.val_dataset,Validation Dataset,collection,The validation dataset parameters,,,,,,,,,FALSE,,,
dataset.val_dataset.data_path,Validation Data Path,hidden,The path to the validation data in a NumPy array,,,,,,,,,FALSE,,,
dataset.val_dataset.label_path,Validation Label Path,hidden,The path to the validation labels in a pickle file,,,,,,,,,FALSE,,,
dataset.num_classes,Number of Classes,int,The number of action classes,5,,0,,,,,,FALSE,,,
dataset.random_choose,Random Choose,bool,Specifies whether to randomly choose a portion of the input sequence,TRUE,,,,,,,,FALSE,,,
dataset.random_move,Random Move,bool,Specifies whether to randomly move the input sequence,TRUE,,,,,,,,FALSE,,,
dataset.window_size,Window Size,int,The length of the output sequence. -1 means the same as original length.,150,,-1,,,,,,FALSE,,,
dataset.batch_size,Batch Size,int,The batch size for training and validation,16,,0,,,,,,FALSE,,,
dataset.num_workers,Workers,int,The number of parallel workers processing data,1,,0,,,,,,FALSE,,,
train,Training Config,collection,The configuration for the training process,,,,,,,,,FALSE,,,
train.results_dir,Output Directory,hidden,The output directory for training,,,,,,,,,FALSE,,,
train.gpu_ids,GPU IDs,list,The GPU IDs,"[0]",,,,,,,,FALSE,,,
train.num_gpus,Number of GPUs,int,The number of GPUs,1,,1,,,,,,FALSE,,,
train.resume_training_checkpoint_path,Resume Training Checkpoint Path,hidden,The checkpoint path to resume training,,,,,,,,,FALSE,,,
train.optim,Optimizer Config,collection,"The configuration for the SGD optimizer,including the learning rate,learning scheduler,weight decay,etc.",,,,,,,,,FALSE,,,
train.optim.optimizer_type,Optimizer Type,string,The type of the optimizer,torch.optim.SGD,,,,torch.optim.SGD,,,,FALSE,,,
train.optim.lr,Learning Rate,float,The initial learning rate for the training,0.1,,0,inf,,,,,TRUE,,,
train.optim.momentum,Momentum,float,The momentum for the SGD optimizer,0.9,,0,1,,,,,TRUE,,,
train.optim.nesterov,Nesterov,bool,Specifies whether to enable Nesterov momentum,TRUE,,,,,,,,FALSE,,,
train.optim.weight_decay,Weight Decay,float,The weight decay coefficient,0.0001,,0,,,,,,FALSE,,,
train.optim.lr_scheduler,Learning Rate Scheduler,ordered,The learning scheduler. Two schedulers are provided: (1) MultiStep : Decrease the lr by lr_decay at setting steps; (2) AutoReduce : Decrease the lr by lr_decay while lr_monitor doesn't decline more than 0.1% of the previous value.,MultiStep,,,,"MultiStep,AutoReduce",,,,FALSE,,,
train.optim.lr_monitor,Learning Rate Monitor,string,The learning rate monitor,val_loss,,,,val_loss,,,,FALSE,,,
train.optim.patience,Patience,int,The patience parameter,1,,0,,,,,,FALSE,,,
train.optim.min_lr,Minimum Learning Rate,float,The minimum learning rate,1e-4,,0,,,,,,FALSE,,,
train.optim.lr_steps,Learning Rate Steps,list_2,The steps to decrease the learning rate for the MultiStep scheduler,"[10,60]",,,,,,,,FALSE,,,
train.optim.lr_decay,Learning Rate Decay,float,The decreasing factor for the learning rate scheduler,0.1,,0,,,,,,FALSE,,,
train.num_epochs,Epochs,int,The total number of epochs to run the experiment,50,,0,,,,,,FALSE,,,
train.checkpoint_interval,Checkpoint Interval,int,The interval at which the checkpoints are saved,10,,0,,,,,,FALSE,,,
train.grad_clip,Gradient Clipping,float,The parameter of gradient clipping,0.0,,0,,,,,,FALSE,,,
