parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,popular,regex,automl_enabled,math_cond,parent_param,depends_on
version,Schema Version,const,The version of this schema,1,,,,,,,,FALSE,,,
results_dir,,hidden,,,,,,,,,,FALSE,,,
encryption_key,,string,,nvidia_tao,,,,,,,,FALSE,,,
model,,collection,,,,,,,,,,FALSE,,,
model.TPS,,bool,,TRUE,,,,,,,,FALSE,,,
model.num_fiducial,,int,,20,,1,inf,,,,,FALSE,,,
model.backbone,,string,,ResNet,,,,,,,,FALSE,,,
model.feature_channel,,int,,512,,,,,,,,FALSE,,,
model.sequence,,string,,BiLSTM,,,,,,,,FALSE,,,
model.hidden_size,,int,,256,,,,,,,,FALSE,,,
model.prediction,,string,,CTC,,,,,,,,FALSE,,,
model.quantize,,bool,,FALSE,,,,,,,,FALSE,,,
model.input_width,,int,,100,,1,inf,,,,,FALSE,,,
model.input_height,,int,,32,,1,inf,,,,,FALSE,,,
model.input_channel,,int,,1,,,,,,,,FALSE,,,
dataset,,collection,,,,,,,,,,FALSE,,,
dataset.train_dataset_dir,,hidden,,,,,,,,,,FALSE,,,
dataset.val_dataset_dir,,hidden,,,,,,,,,,FALSE,,,
dataset.character_list_file,,hidden,,,,,,,,,,FALSE,,,
dataset.max_label_length,,int,,25,,,,,,,,FALSE,,,
dataset.batch_size,,int,,32,,1,inf,,,,,FALSE,,,
dataset.workers,,int,,4,,,,,,,,FALSE,,,
dataset.augmentation,,collection,,,,,,,,,,FALSE,,,
dataset.augmentation.keep_aspect_ratio,,bool,,FALSE,,,,,,,,FALSE,,,
gen_trt_engine,,collection,,,,,,,,,,FALSE,,,
gen_trt_engine.gpu_id,,int,,0,,,,,,,,FALSE,,,
gen_trt_engine.onnx_file,,hidden,,,,,,,,,,FALSE,,,
gen_trt_engine.trt_engine,,hidden,,,,,,,,,,FALSE,,,
gen_trt_engine.input_channel,,int,,1,,,,,,,,FALSE,,,
gen_trt_engine.input_height,,int,,32,,,,,,,,FALSE,,,
gen_trt_engine.input_width,,int,,100,,,,,,,,FALSE,,,
gen_trt_engine.opset_version,,int,,12,,,,,,,,FALSE,,,
gen_trt_engine.batch_size,,int,,-1,,,,,,,,FALSE,,,
gen_trt_engine.verbose,,bool,,TRUE,,,,,,,,FALSE,,,
gen_trt_engine.tensorrt,,collection,,,,,,,,,,FALSE,,,
gen_trt_engine.tensorrt.data_type,,ordered,,fp16,,,,,,,,FALSE,,,
gen_trt_engine.tensorrt.workspace_size,,int,,1024,,,,,,,,FALSE,,,
gen_trt_engine.tensorrt.min_batch_size,,int,,1,,,,,,,,FALSE,,,
gen_trt_engine.tensorrt.opt_batch_size,,int,,4,,,,,,,,FALSE,,,
gen_trt_engine.tensorrt.max_batch_size,,int,,10,,,,,,,,FALSE,,,
gen_trt_engine.tensorrt.calibration,,collection,,,,,,,,,,FALSE,,,
gen_trt_engine.tensorrt.calibration.cal_image_dir,,hidden,,,,,,,,,,FALSE,,,
gen_trt_engine.tensorrt.calibration.cal_cache_file,,hidden,,,,,,,,,,FALSE,,,
gen_trt_engine.tensorrt.calibration.cal_batch_size,,int,,8,,,,,,,,FALSE,,,
gen_trt_engine.tensorrt.calibration.cal_batches,,int,,2,,,,,,,,FALSE,,,
