parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,popular,regex,automl_enabled,math_cond,parent_param,depends_on
version,Schema Version,const,The version of this schema,1,,,,,,,,FALSE,,,
results_dir,,hidden,,,,,,,,,,FALSE,,,
encryption_key,,string,,nvidia_tao,,,,,,,,FALSE,,,
model,,collection,,,,,,,,,,FALSE,,,
model.model_backbone,,string,,custom,,,,,,,,FALSE,,,
model.model_type,,ordered,,Siamese_3,,,,"Siamese,Siamese_3",,,,FALSE,,,
model.embedding_vectors,,int,,5,,1,inf,,,,,FALSE,,,
model.margin,,float,,2.0,,1.0,inf,,,,,FALSE,,,
model.imagenet_pretrained,,bool,,False,,,,,,,,FALSE,,,
dataset,,collection,,,,,,,,,,FALSE,,,
dataset.train_dataset,,collection,,,,,,,,,,FALSE,,,
dataset.train_dataset.csv_path,,hidden,,,,,,,,,,FALSE,,,
dataset.train_dataset.images_dir,,hidden,,,,,,,,,,FALSE,,,
dataset.validation_dataset,,collection,,,,,,,,,,FALSE,,,
dataset.validation_dataset.csv_path,,hidden,,,,,,,,,,FALSE,,,
dataset.validation_dataset.images_dir,,hidden,,,,,,,,,,FALSE,,,
dataset.test_dataset,,collection,,,,,,,,,,FALSE,,,
dataset.test_dataset.csv_path,,hidden,,,,,,,,,,FALSE,,,
dataset.test_dataset.images_dir,,hidden,,,,,,,,,,FALSE,,,
dataset.infer_dataset,,collection,,,,,,,,,,FALSE,,,
dataset.infer_dataset.csv_path,,hidden,,,,,,,,,,FALSE,,,
dataset.infer_dataset.images_dir,,hidden,,,,,,,,,,FALSE,,,
dataset.image_ext,,string,,.jpg,,,,,,,,FALSE,,,
dataset.batch_size,,int,,1,,1,inf,,,,,FALSE,,,
dataset.workers,,int,,1,,0,inf,,,,,FALSE,,,
dataset.fpratio_sampling,,float,,0.1,,0.0,1.0,,,,,FALSE,,,
dataset.num_input,,int,,4,,1,inf,,,,,FALSE,,,
dataset.input_map,,collection,,"{""LowAngleLight"": 0,""SolderLight"": 1,""UniformLight"": 2,""WhiteLight"": 3}",,,,,,,,FALSE,,,
dataset.concat_type,,ordered,,linear,,,,"linear,grid",,,,FALSE,,,
dataset.grid_map,,collection,,"{""x"": 2,""y"": 2}",,,,,,,,FALSE,,,
dataset.image_width,,int,,128,,1,inf,,,,,FALSE,,,
dataset.image_height,,int,,128,,1,inf,,,,,FALSE,,,
dataset.augmentation_config.rgb_input_mean,,list,,"[0.485,0.456,0.406]",,,,,,,,FALSE,,,
dataset.augmentation_config.rgb_input_std,,list,,"[0.226,0.226,0.226]",,,,,,,,FALSE,,,
evaluate,,collection,,,,,,,,,,FALSE,,,
evaluate.gpu_ids,,list,,"[0]",,,,,,,,FALSE,,,
evaluate.checkpoint,,hidden,,,,,,,,,,FALSE,,,
evaluate.batch_size,,int,,4,,1,inf,,,,,FALSE,,,
evaluate.results_dir,,hidden,,,,,,,,,,FALSE,,,
