parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,regex,popular,automl_enabled,math_cond,parent_param,depends_on
gpus,number of gpus,integer,,1,,,,,,,,FALSE,,,
use_amp,,bool,,FALSE,,,,,,,,FALSE,,,
version,Schema Version,const,The version of this schema,1,,,,,,,,FALSE,,,
random_seed,Random Seed,integer,Seed value for the random number generator in the network,42,,0,inf,,,,,FALSE,,,
dataset_config,Dataset,collection,Parameters to configure the dataset,,,,,,,,,FALSE,,,
dataset_config.dataset,,string,,custom,,,,,,,,FALSE,,,
dataset_config.augment,Augment,bool,Boolean to augment the dataset or not,FALSE,,,,TRUE/FALSE,,,,,,,
dataset_config.buffer_size,buffer_size,integer,The is is the buffer for the number of images atmost to be used in an iteration. Total number of images in the dataset,,,1,,,,,,FALSE,,,
dataset_config.filter_data,filter_data,bool,Set this to omit images or masks that are not present,TRUE,,,,TRUE/FALSE,,,,,,,
dataset_config.resize_padding,Resize Padding,bool,If the image needs to be resized by preserving aspect ratio,TRUE,,,,TRUE/FALSE,,,,,,,
dataset_config.resize_method,Resize Method,ordered,The interpolation method for resize,BILINEAR,,,,"BILINEAR,NEAREST_NEIGHBOR,BICUBIC AREA ",,,,,,,
dataset_config.input_image_type,Input Image type,ordered,Gives information on if the input is RGB or grayscale,grayscale,,,,"color,grayscale",,,,FALSE,,,
dataset_config.train_images_path,Image path,hidden,,,,,,,,,,FALSE,,,
dataset_config.train_masks_path,Masks path,hidden,,,,,,,,,,FALSE,,,
dataset_config.val_images_path,Image path,hidden,,,,,,,,,,FALSE,,,
dataset_config.val_masks_path,Masks path,hidden,,,,,,,,,,FALSE,,,
dataset_config.data_class_config,Target Class Mappings,collection,Contains the parameters to configure the mappping of diferent classes,,,,,,yes,,yes,FALSE,,,
dataset_config.data_class_config.target_classes,Target Class Mappings list,list,Contains the parameters to configure the mappping of diferent classes,"[{""name"": ""foreground"",""mapping_class"": ""foreground"",""label_id"": 0},{""name"": ""background"",""mapping_class"": ""background"",""label_id"": 1}]",,,,,yes,,,FALSE,,,
dataset_config.augmentation_config,Data Augmentation,collection,Collection of parameters to configure augmentation,,,,,,,,Yes,FALSE,,,
