parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,popular,regex,automl_enabled,math_cond,parent_param,depends_on
version,Schema Version,const,The version of this schema,1,,,,,,,,FALSE,,,
results_dir,,hidden,,,,,,,,,,FALSE,,,
gen_trt_engine,,collection,,,,,,,,,,FALSE,,,
gen_trt_engine.onnx_file,,hidden,,,,,,,,,,FALSE,,,
gen_trt_engine.trt_engine,,hidden,,,,,,,,,,FALSE,,,
gen_trt_engine.width,,int,,1280,,,,,,yes,,FALSE,,,
gen_trt_engine.height,,int,,736,,,,,,yes,,FALSE,,,
gen_trt_engine.tensorrt,,collection,,,,,,,,,,FALSE,,,
gen_trt_engine.tensorrt.data_type,,string,,fp32,,,,,,,,FALSE,,,
gen_trt_engine.tensorrt.workspace_size,,int,,1024,,,,,,,,FALSE,,,
gen_trt_engine.tensorrt.min_batch_size,,int,,1,,,,,,yes,,FALSE,,,
gen_trt_engine.tensorrt.opt_batch_size,,int,,1,,,,,,yes,,FALSE,,,
gen_trt_engine.tensorrt.max_batch_size,,int,,1,,,,,,yes,,FALSE,,,
gen_trt_engine.tensorrt.calibration,,collection,,,,,,,,,,FALSE,,,
gen_trt_engine.tensorrt.calibration.cal_image_dir,,hidden,,,,,,,,,,FALSE,,,
gen_trt_engine.tensorrt.calibration.cal_cache_file,,hidden,,,,,,,,,,FALSE,,,
gen_trt_engine.tensorrt.calibration.cal_batch_size,,int,,8,,,,,,,,FALSE,,,
gen_trt_engine.tensorrt.calibration.cal_num_batches,,int,,2,,,,,,,,FALSE,,,
