parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,regex,popular,CLI,automl_enabled,math_cond,parent_param,depends_on
gpus,number of gpus,integer,,1,,,,,,,,,FALSE,,,
use_amp,,bool,,FALSE,,,,,,,,,FALSE,,,
augmentation_config,augmentation config,collection,Parameters to configure model,,,,,,,,,,FALSE,,,
augmentation_config.rand_hflip,random horizontal flip,bool,Whether to perform random horizontal flip,TRUE,,,,,,,,,,,,
augmentation_config.random_crop_max_scale,maximum scale of random crop,float,The maximum scale of RandomCrop augmentation. ,2,,1.00E-05,inf,,,,,,,,TRUE,
augmentation_config.random_crop_min_scale,minimum scale of random crop,float,The minimum scale of RandomCrop augmentation. ,0.1,,1.00E-05,inf,,,,,,TRUE,,,< augmentation_config.random_crop_max_scale
dataset_config,dataset config,collection,Parameters to configure dataset,,,,,,,,,,FALSE,,,
dataset_config.image_size,image size,string,"The image dimension as a tuple within quote marks. (height, width) indicates the dimension of the resized and padded input.","736,1280",,,,,yes,,,,FALSE,,,
dataset_config.max_instances_per_image,maximum instances per image,integer,The maximum number of object instances to parse (default: 100),100,,1,inf,,,,,,,,,
dataset_config.num_classes,number of classes,integer,"The number of classes. If there are N categories in the annotation, num_classes should be N+1 (background class)",91,,2,inf,,yes,,,,FALSE,,,
dataset_config.skip_crowd_during_training,skip crowd during training,bool,Specifies whether to skip crowd during training,TRUE,,,,,,,,,,,,
dataset_config.training_file_pattern,training file pattern,hidden,The TFRecord path for training,,,,,,,,,,FALSE,,,
dataset_config.validation_file_pattern,validation file pattern,hidden,The TFRecord path for validation,,,,,,,,,,FALSE,,,
dataset_config.validation_json_file,validation json file,hidden,The annotation file path for validation,,,,,,,,,,FALSE,,,
eval_config,evaluation config,collection,Parameters to configure evaluation,,,,,,,,,,FALSE,,,
eval_config.eval_batch_size,evaluation batch size,integer,"The batch size for each GPU, so the effective batch size is batch_size_per_gpu * num_gpus",8,,1,inf,,,,,,FALSE,,,
eval_config.eval_epoch_cycle,evaluation epoch cycle,integer,The number of training epochs that should run per validation,2,,1,inf,,,,,,FALSE,,,
