parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,regex,popular,param_type (internal / hidden / inferred),CLI
version,Schema Version,const,The version of this schema,1,,,,,,,,internal,
threshold,,float,,0.3,,,,,,,,,
include_mask,,bool,,TRUE,,,,,,,,,
experiment_spec_file,,hidden,,,,,,,,,,,CLI argument
model_dir,,hidden,,,,,,,,,,,CLI argument
key,,hidden,,,,,,,,,,,CLI argument
seed,Random Seed,integer,Seed value for the random number generator in the network,123,,,,,,,,,
num_epochs,,integer,,10,,,,,,,,,
warmup_steps,Warmup steps,integer,The steps taken for learning rate to ramp up to the init_learning_rate,10000,,,,,,,,,
learning_rate_steps,Learning rate steps,string,A list of steps at which the learning rate decays by the factor specified in learning_rate_decay_levels,"[100000, 150000, 200000]",,,,,,,,,
learning_rate_decay_levels,learning rate decay steps,string,A list of decay factors. The length should match the length of learning_rate_steps.,"[0.1, 0.02, 0.01]",,,,,,,,,
total_steps,Total training steps,integer,The total number of training iterations,250000,,,,,,,,,
train_batch_size,Training Batchsize,integer,The batch size during training,2,,,,,,,,,
eval_batch_size,Evaluation Batchsize,integer,The batch size during validation or evaluation,4,,,,,,,,,
num_steps_per_eval,Number of steps between each evaluation,integer,num_steps_per_eval,5000,,,,,,,,,
momentum,SGD momentum,float,Momentum of the SGD optimizer,0.9,,,,,,,,,
l1_weight_decay,L1 Weight decay,float,L1 regularizer weight,,,,,,,,,,
l2_weight_decay,L2 weight decay,float,L2 regularizer weight,0.00004,,,,,,,,,
warmup_learning_rate,,float,,0.0001,,,,,,,,,
init_learning_rate,,float,,0.005,,,,,,,,,
num_examples_per_epoch,,integer,,118288,,,,,,,,,
checkpoint,Path to Pretrained model,hidden,The path to a pretrained model,,,,,,,,,,
skip_checkpoint_variables,Name of skipped variables in the pretrained model,string,"If specified, the weights of the layers with matching regular expressions will not be loaded. This is especially helpful for transfer learning.",,,,,,,,,,
pruned_model_path,Path to pruned model,hidden,The path to a pruned MaskRCNN graph,,,,,,,,,,
maskrcnn_config,MaskRCNN configuration,collection,,,,,,,,,,,
maskrcnn_config.nlayers,Number of layers in ResNet,integer,The number of layers in ResNet arch,50,,,,,,,,,
maskrcnn_config.arch,Backbone name,string,The backbone feature extractor name,resnet,,,,,,,,,
maskrcnn_config.freeze_bn,Freeze BN,bool,Whether to freeze all BatchNorm layers in the backbone,TRUE,,,,,,,,,
maskrcnn_config.freeze_blocks,Freeze Block,string,A list of conv blocks in the backbone to freeze,"[0,1]",,,,,,,,,
maskrcnn_config.gt_mask_size,Groundtruth Mask Size,integer,The groundtruth mask size,112,,,,,,,,,
maskrcnn_config.rpn_positive_overlap,RPN positive overlap,float,The lower-bound threshold to assign positive labels for anchors,0.7,,,,,,,,,
maskrcnn_config.rpn_negative_overlap,RPN negative overlap,float,The upper-bound threshold to assign negative labels for anchors,0.3,,,,,,,,,
maskrcnn_config.rpn_batch_size_per_im,RPN batchsize per image,integer,The number of sampled anchors per image in RPN,256,,,,,,,,,
maskrcnn_config.rpn_fg_fraction,RPN foreground fraction,float,The desired fraction of positive anchors in a batch,0.5,,,,,,,,,
maskrcnn_config.rpn_min_size,RPN minimum size,float,The minimum proposal height and width,0,,,,,,,,,
maskrcnn_config.batch_size_per_im,RoI batchsize per image,integer,The RoI minibatch size per image,512,,,,,,,,,
maskrcnn_config.fg_fraction,Foreground fraction,float,The target fraction of RoI minibatch that is labeled as foreground,0.25,,,,,,,,,
maskrcnn_config.fg_thresh,,float,,0.5,,,,,,,,,
maskrcnn_config.bg_thresh_hi,,float,,0.5,,,,,,,,,
maskrcnn_config.bg_thresh_lo,,float,,0,,,,,,,,,
maskrcnn_config.fast_rcnn_mlp_head_dim,classification head dimension,integer,The Fast-RCNN classification head dimension,1024,,,,,,,,,
maskrcnn_config.bbox_reg_weights,bounding-box regularization weights,string,The bounding-box regularization weights,"(10., 10., 5., 5.)",,,,,,,,,
maskrcnn_config.include_mask,Include mask head,bool,Specifies whether to include a mask head,TRUE,,,,,,,,,
maskrcnn_config.mrcnn_resolution,Mask resolution,integer,The mask-head resolution,28,,,,,,,,,
maskrcnn_config.train_rpn_pre_nms_topn,Top N RPN proposals pre NMS during training,integer,The number of top-scoring RPN proposals to keep before applying NMS (per FPN level) during training,2000,,,,,,,,,
maskrcnn_config.train_rpn_post_nms_topn,Top N RPN proposals post NMS during training,integer,The number of top-scoring RPN proposals to keep after applying NMS (total number produced) during training,1000,,,,,,,,,
maskrcnn_config.train_rpn_nms_threshold,NMS threshold in RPN during training,float,The NMS IOU threshold in RPN during training,0.7,,,,,,,,,
maskrcnn_config.test_detections_per_image,Number of bounding boxes after NMS,integer,The number of bounding box candidates after NMS,100,,,,,,,,,
maskrcnn_config.test_nms,NMS threshold during test,float,The NMS IOU threshold during test,0.5,,,,,,,,,
maskrcnn_config.test_rpn_pre_nms_topn,Top N RPN proposals pre NMS during test,integer,The number of top-scoring RPN proposals to keep before applying NMS (per FPN level) during test,1000,,,,,,,,,
maskrcnn_config.test_rpn_post_nms_topn,Top N RPN proposals post NMS during test,integer,The number of top scoring RPN proposals to keep after applying NMS (total number produced) during test,1000,,,,,,,,,
maskrcnn_config.test_rpn_nms_thresh,NMS threshold in RPN during test,float,The NMS IOU threshold in RPN during test,0.7,,,,,,,,,
maskrcnn_config.min_level,Minimum FPN level,integer,The minimum level of the output feature pyramid,2,,,,,,,,,
maskrcnn_config.max_level,Maximum FPN level,integer,The maximum level of the output feature pyramid,6,,,,,,,,,
maskrcnn_config.num_scales,number of scales,integer,"The number of anchor octave scales on each pyramid level (e.g. if set to 3, the anchor scales are [2^0, 2^(1/3), 2^(2/3)])",1,,,,,,,,,
maskrcnn_config.aspect_ratios,aspect ratios,string,A list of tuples representing the aspect ratios of anchors on each pyramid level,"[(1.0, 1.0), (1.4, 0.7), (0.7, 1.4)]",,,,,,,,,
maskrcnn_config.anchor_scale,anchor scale,integer,Scale of the base-anchor size to the feature-pyramid stride,8,,,,,,,,,
maskrcnn_config.rpn_box_loss_weight,RPN box loss weight,float,The weight for adjusting RPN box loss in the total loss,1,,,,,,,,,
maskrcnn_config.fast_rcnn_box_loss_weight,FastRCNN box regression weight,float,The weight for adjusting FastRCNN box regression loss in the total loss,1,,,,,,,,,
maskrcnn_config.mrcnn_weight_loss_mask,Mask loss weight,float,The weight for adjusting mask loss in the total loss,1,,,,,,,,,
data_config,Dataset configuration,collection,,,,,,,,,,,
data_config.image_size,Image size,string,"The image dimension as a tuple within quote marks. (height, width) indicates the dimension of the resized and padded input.","(832, 1344)",,,,,,,,,
data_config.augment_input_data,augment input data,bool,Specifies whether to augment the data,TRUE,,,,,,,,,
data_config.eval_samples,Number of evaluation samples,integer,The number of samples for evaluation,500,,,,,,,,,
data_config.training_file_pattern,Train file pattern,hidden,The TFRecord path for training,,,,,,,,,,
data_config.validation_file_pattern,validation file pattern,hidden,The TFRecord path for validation,,,,,,,,,,
data_config.val_json_file,validation json path,hidden,The annotation file path for validation,,,,,,,,,,
data_config.num_classes,Number of classes,integer,"The number of classes. If there are N categories in the annotation, num_classes should be N+1 (background class)",91,,,,,,,,,
