parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,popular,regex,automl_enabled,math_cond,parent_param,depends_on
gpus,number of gpus,integer,,1,,,,,,,,FALSE,,,
use_amp,,bool,,FALSE,,,,,,,,FALSE,,,
version,Schema Version,const,The version of this schema,1,,,,,,,,FALSE,,,
random_seed,Random Seed,integer,Seed value for the random number generator in the network,42,,,,,,,,FALSE,,,
dataset_config,Dataset,collection,Parameters to configure the dataset,,,,,,,,,FALSE,,,
dataset_config.image_extension,Image Extension,string,Extension of the images to be used.,png,,,,"png,jpg,jpeg",yes,,,FALSE,,,
dataset_config.data_sources.tfrecords_path,TFRecord Path,hidden,,,/shared/users/1234/datasets/5678/tfrecords/kitti_trainval/*,,,,,,,FALSE,,,
dataset_config.data_sources.image_directory_path,Image Path,hidden,,,/shared/users/1234/datasets/5678/training,,,,,,,FALSE,,,
dataset_config.validation_data_source.tfrecords_path,Validation TFRecord Path,hidden,,,/shared/users/1234/datasets/5678/tfrecords/kitti_trainval/*,,,,,,,FALSE,,,
dataset_config.validation_data_source.image_directory_path,Validation Image Path,hidden,,,/shared/users/1234/datasets/5678/training,,,,,,,FALSE,,,
dataset_config.target_class_mapping,Target Class Mappings,list,"This parameter maps the class names in the tfrecords to the target class to be trained in the network. An element is defined for every source class to target class mapping. This field was included with the intention of grouping similar class objects under one umbrella. For example: car,van,heavy_truck etc may be grouped under automobile.",,,,,,,,,FALSE,,,
dataset_config.target_class_mapping.key,Class Key,string,"The ""key"" field is the value of the class name in the tfrecords file.",person,,,,,,,"^[-a-zA-Z0-9_]{1,40}$",FALSE,,,
dataset_config.target_class_mapping.value,Class Value,string,"The ""value"" field corresponds to the value that the network is expected to learn.",person,,,,,,,"^[-a-zA-Z0-9_]{1,40}$",FALSE,,,
dataset_config.validation_fold,Validation Fold,integer,"In case of an n fold tfrecords,you define the index of the fold to use for validation. For sequencewise validation choose the validation fold in the range [0,N-1]. For random split partitioning,force the validation fold index to 0 as the tfrecord is just 2-fold.",,,0,,,,,,FALSE,,,
augmentation_config,Data Augmentation,collection,Collection of parameters to configure the preprocessing and on the fly data augmentation,,,,,,,Yes,,FALSE,,,
