parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,regex,popular,param_type (internal / hidden / inferred),CLI
batch_size,,integer,TAO-Deploy batch size,1,,,,,,,,,yes
inferencer_config,,collection,,,,,,,,,,,
inferencer_config.tlt_config,,collection,,,,,,,,,,,
inferencer_config.tlt_config.model,,hidden,,,,,,,,,,,
inferencer_config.tensorrt_config,,collection,,,,,,,,,,,
inferencer_config.tensorrt_config.parser,,integer,,,,,,"0,1,2",,,,,
inferencer_config.tensorrt_config.backend_data_type,,integer,,,,,,"0,1,2",,,,,
inferencer_config.tensorrt_config.save_engine,,bool,,,,,,,,,,,
inferencer_config.tensorrt_config.trt_engine,,hidden,,,,,,,,,,,
inferencer_config.tensorrt_config.calibrator_config,,collection,,,,,,,,,,,
inferencer_config.input_nodes,,list,list of string,,,,,,,,,,
inferencer_config.output_nodes,,list,list of string,,,,,,,,,,
inferencer_config.batch_size,,integer,,16,,,,,,,,,
inferencer_config.image_height,,integer,,720,,,,,,,,,
inferencer_config.image_width,,integer,,1280,,,,,,,,,
inferencer_config.image_channels,,integer,,3,,,,,,,,,
inferencer_config.gpu_index,,integer,,0,,,,,,,,,
inferencer_config.target_classes,,list,list of string,"[""car""]",,,,,yes,,yes,,
inferencer_config.stride,,integer,,,,,,,,,,,
bbox_handler_config,,collection,,,,,,,,,,,
bbox_handler_config.kitti_dump,,bool,,TRUE,,,,,,,,,
bbox_handler_config.disable_overlay,,bool,,FALSE,,,,,,,,,
bbox_handler_config.overlay_linewidth,,integer,,2,,,,,,,,,
bbox_handler_config.classwise_bbox_handler_config,,list,,,,,,,yes,,yes,,
bbox_handler_config.classwise_bbox_handler_config.key,,string,,default,,,,,,,,,
bbox_handler_config.classwise_bbox_handler_config.value,,collection,,,,,,,,,,,
bbox_handler_config.classwise_bbox_handler_config.value.clustering_config,,collection,,,,,,,,,,,
bbox_handler_config.classwise_bbox_handler_config.value.clustering_config.coverage_threshold,Coverage Threshold,float,The minimum threshold of the coverage tensor output to be considered a valid candidate box for clustering. The four coordinates from the bbox tensor at the corresponding indices are passed for clustering.,0.005,,0,1,,,,,,
bbox_handler_config.classwise_bbox_handler_config.value.clustering_config.dbscan_eps,DBSCAN Samples Distance,float,"The maximum distance between two samples for one to be considered in the neighborhood of the other. This is not a maximum bound on the distances of points within a cluster. The greater the dbscan_eps value, the more boxes are grouped together.",0.3,,0,1,,,,,,
bbox_handler_config.classwise_bbox_handler_config.value.clustering_config.dbscan_min_samples,DBSCAN Minimum Samples,int,The total weight in a neighborhood for a point to be considered as a core point. This includes the point itself.,1,,1,inf,,,,,,
bbox_handler_config.classwise_bbox_handler_config.value.clustering_config.minimum_bounding_box_height,Minimum Bounding Box Height,integer,The minimum height in pixels to consider as a valid detection post clustering.,4,,0,10000,,,,,,
bbox_handler_config.classwise_bbox_handler_config.value.clustering_config.clustering_algorithm,Clustering Algorithm,string,"Defines the post-processing algorithm to cluter raw detections to the final bbox render. When using HYBRID mode, ensure both DBSCAN and NMS configuration parameters are defined.",__DBSCAN__,,,,"__DBSCAN__, __NMS__, __HYBRID__",,,,,
bbox_handler_config.classwise_bbox_handler_config.value.clustering_config.dbscan_confidence_threshold,DBSCAN Confidence Threshold,float,The confidence threshold used to filter out the clustered bounding box output from DBSCAN.,0.9,,0.1,,,,,,,
bbox_handler_config.classwise_bbox_handler_config.value.clustering_config.nms_iou_threshold,NMS IOU Threshold,float,The Intersection Over Union (IOU) threshold to filter out redundant boxes from raw detections to form final clustered outputs.,,,0,1,,,,,,
bbox_handler_config.classwise_bbox_handler_config.value.clustering_config.nms_confidence_threshold,NMS Confidence Threshold,float,The confidence threshold to filter out clustered bounding boxes from NMS.,,,0,1,,,,,,
bbox_handler_config.classwise_bbox_handler_config.value.confidence_model,,string,,aggregate_cov,,,,,,,,,
bbox_handler_config.classwise_bbox_handler_config.value.output_map,,string,,,,,,,,,,,
bbox_handler_config.classwise_bbox_handler_config.value.bbox_color,,collection,0,,"0,1,2",,,,,,,,
bbox_handler_config.classwise_bbox_handler_config.value.bbox_color.R,,integer,,255,,,,,,,,,
bbox_handler_config.classwise_bbox_handler_config.value.bbox_color.G,,integer,,0,,,,,,,,,
bbox_handler_config.classwise_bbox_handler_config.value.bbox_color.B,,integer,,0,,,,,,,,,
bbox_handler_config.postproc_classes,,list,list of string,,,,,,,,,,
