parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,popular,regex,automl_enabled,math_cond,parent_param,depends_on
version,Schema Version,const,The version of this schema,1,,,,,,,,FALSE,,,
results_dir,,hidden,,,,,,,,,,FALSE,,,
encryption_key,,hidden,,,,,,,,,,FALSE,,,
dataset,,collection,,,,,,,,,,FALSE,,,
dataset.train_sampler,,categorical,,default_sampler,,,,"default_sampler,uniform_sampler",,,,FALSE,,,
dataset.train_data_sources,,list,,,,,,,,,,FALSE,,,
dataset.train_data_sources.image_dir,,hidden,,,,,,,,,,FALSE,,,
dataset.train_data_sources.json_file,,hidden,,,,,,,,,,FALSE,,,
dataset.val_data_sources,,list,,,,,,,,,,FALSE,,,
dataset.val_data_sources.image_dir,,hidden,,,,,,,,,,FALSE,,,
dataset.val_data_sources.json_file,,hidden,,,,,,,,,,FALSE,,,
dataset.num_classes,,int,,91,,,,,,,,FALSE,,,
dataset.batch_size,,int,,4,,1,inf,,,yes,,FALSE,,,
dataset.workers,,int,,8,,0,inf,,,,,FALSE,,,
dataset.dataset_type,,ordered,,serialized,,,,"serialized,default",,,,FALSE,,,
dataset.eval_class_ids,,list,,,,,,,,,,FALSE,,,
dataset.augmentation.scales,,list,,,,,,,,,,FALSE,,,
dataset.augmentation.input_mean,,list,,,,,,,,,,FALSE,,,
dataset.augmentation.input_std,,list,,,,,,,,,,FALSE,,,
dataset.augmentation.train_random_resize,,list,,,,,,,,,,FALSE,,,
dataset.augmentation.horizontal_flip_prob,,float,,0.5,,0,1,,,,,FALSE,,,
dataset.augmentation.train_random_crop_min,,int,,384,,1,inf,,,,,FALSE,,,
dataset.augmentation.train_random_crop_max,,int,,600,,1,inf,,,,,FALSE,,,
dataset.augmentation.random_resize_max_size,,int,,1333,,1,inf,,,,,FALSE,,,
dataset.augmentation.test_random_resize,,int,,800,,1,inf,,,,,FALSE,,,
dataset.augmentation.fixed_padding,,bool,,TRUE,,,,,,,,FALSE,,,
dataset.augmentation.fixed_random_crop,,int,,,,,,,,,,FALSE,,,
model,,collection,,,,,,,,,,FALSE,,,
model.backbone,,ordered,,resnet_50,,,,"resnet_50,gc_vit_xxtiny,gc_vit_xtiny,gc_vit_tiny,gc_vit_small,gc_vit_base,gc_vit_large,gc_vit_large_384",,,,FALSE,,,
model.pretrained_backbone_path,,hidden,,,,,,,,,,FALSE,,,
model.train_backbone,,bool,,FALSE,,,,,,,,FALSE,,,
model.num_feature_levels,,int,,4,,1,4,,,,,FALSE,,,
model.dec_layers,,int,,6,,1,6,,,,,FALSE,,,
model.enc_layers,,int,,6,,1,6,,,,,FALSE,,,
model.num_queries,,int,,300,,100,900,,,,,TRUE,,,
model.with_box_refine,,bool,,TRUE,,,,,,,,FALSE,,,
model.dropout_ratio,,float,,0.3,,0,1,,,,,FALSE,,,
model.cls_loss_coef,,float,,2,,0,inf,,,,,FALSE,,,
model.bbox_loss_coef,,float,,5,,0,inf,,,,,FALSE,,,
model.giou_loss_coef,,float,,2,,0,inf,,,,,FALSE,,,
model.focal_alpha,,float,,0.25,,0,1,,,,,FALSE,,,
model.clip_max_norm,,float,,0.1,,0,1,,,,,FALSE,,,
model.hidden_dim,,int,,256,,256,512,,,,,FALSE,,,
model.nheads,,int,,8,,1,8,,,,,FALSE,,,
model.dim_feedforward,,int,,1024,,1024,2048,,,,,FALSE,,,
model.dec_n_points,,int,,4,,1,inf,,,,,FALSE,,,
model.enc_n_points,,int,,4,,1,inf,,,,,FALSE,,,
model.aux_loss,,bool,,FALSE,,,,,,,,FALSE,,,
model.dilation,,bool,,FALSE,,,,,,,,FALSE,,,
model.loss_types,,list,,,,,,,,,,FALSE,,,
model.backbone_names,,list,,,,,,,,,,FALSE,,,
model.linear_proj_names,,list,,,,,,,,,,FALSE,,,
export,,collection,,,,,,,,,,FALSE,,,
export.gpu_id,,int,,0,,0,7,,,,,FALSE,,,
export.checkpoint,,hidden,,,,,,,,,,FALSE,,,
export.onnx_file,,hidden,,,,,,,,,,FALSE,,,
export.input_width,,int,,960,,1,inf,,,yes,,FALSE,,,
export.input_height,,int,,544,,1,inf,,,yes,,FALSE,,,
export.input_channel,,int,,3,,3,3,,,yes,,FALSE,,,
export.opset_version,,int,,12,,12,16,,,,,FALSE,,,
export.batch_size,,int,,-1,,-1,inf,,,yes,,FALSE,,,
export.verbose,,bool,,FALSE,,,,,,,,FALSE,,,
export.on_cpu,,bool,,FALSE,,,,,,,,FALSE,,,
