parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,regex,popular
random_seed,,integer,,42,,,,,,,
model_config,,collection,,,,,,,,,
model_config.arch,,string,,resnet,,,,,,,
model_config.input_image_size,,string,,"3,80,60",,,,,yes,,yes
model_config.resize_interpolation_method,,string,,,,,,"__BILINEAR__, __BICUBIC__",,,
model_config.n_layers,,integer,,10,,,,,,,
model_config.use_imagenet_head,,bool,,,,,,,,,
model_config.use_batch_norm,,bool,,TRUE,,,,,,,
model_config.use_bias,,bool,,,,,,,,,
model_config.use_pooling,,bool,,,,,,,,,
model_config.all_projections,,bool,,TRUE,,,,,,,
model_config.freeze_bn,,bool,,,,,,,,,
model_config.freeze_blocks,,integer,,,,,,,,,
model_config.dropout,,float,,,,,,,,,
model_config.batch_norm_config,,collection,,,,,,,,,
model_config.batch_norm_config.momentum,,float,,,,,,,,,
model_config.batch_norm_config.epsilon,,float,,,,,,,,,
model_config.activation,,collection,,,,,,,,,
model_config.activation.activation_type,,string,,,,,,,,,
model_config.activation.activation_parameters,,collection,,,,,,,,,
model_config.activation.activation_parameters.key,,string,,,,,,,,,
model_config.activation.activation_parameters.value,,float,,,,,,,,,
dataset_config,,collection,,,,,,,,,
dataset_config.train_csv_path,,hidden,,,,,,,,,
dataset_config.image_directory_path,,hidden,,,,,,,,,
dataset_config.val_csv_path,,hidden,,,,,,,,,
training_config,Training,collection,,,,,,,,,
training_config.batch_size_per_gpu,Batch Size Per GPU,integer,The number of images per batch per GPU.,32,,1,,,,,
training_config.num_epochs,Number of Epochs,integer,The total number of epochs to run the experiment.,10,,1,,,,,
training_config.enable_qat,Enable Quantization Aware Training,bool,bool,,,,,,,,
training_config.learning_rate,,collection,,,,,,,,,
training_config.learning_rate.soft_start_annealing_schedule,,collection,,,,,,,,,
training_config.learning_rate.soft_start_annealing_schedule.min_learning_rate,Minimum Learning Rate,float,The minimum learning rate in the learning rate schedule.,1.00E-06,,0,,,,,
training_config.learning_rate.soft_start_annealing_schedule.max_learning_rate,Maximum Learning Rate,float,The maximum learning rate in the learning rate schedule.,1.00E-02,,0,,,,,
training_config.learning_rate.soft_start_annealing_schedule.soft_start,Soft Start,float,The time to ramp up the learning rate from minimum learning rate to maximum learning rate.,0.1,,0,1,,,,
training_config.learning_rate.soft_start_annealing_schedule.annealing,Annealing,float,The time to cool down the learning rate from maximum learning rate to minimum learning rate. Greater than soft_start.,0.7,,0,1,,,,
training_config.regularizer.type,Regularizer Type,string,The type of the regularizer being used.,__L1__,,,,"__L1__, __L2__",,,
training_config.regularizer.weight,Regularizer Weight,float,The floating point weight of the regularizer.,9.00E-05,,0,,,,,
training_config.checkpoint_interval,Checkpoint Interval,integer,The interval (in epochs) at which train saves intermediate models.,1,,,,,,,
training_config.max_queue_size,Max Queue Size,integer,Maximum Queue Size in Sequence Dataset,,,,,,,,
training_config.n_workers,Workers,integer,Number of workers in sequence dataset,,,,,,,,
training_config.use_multiprocessing,Use Multiprocessing,bool,Use multiprocessing or not,,,,,,,,
training_config.early_stopping,Early Stopping,collection,,,,,,,,,
training_config.early_stopping.monitor,Monitor,string,The name of the quantity to be monitored for early stopping,,,,,,,,
training_config.early_stopping.min_delta,Min Delta,float,Minimum delta of the quantity to be regarded as changed,,,,,,,,
training_config.early_stopping.patience,Patience,integer,The number of epochs to be waited for before stopping the training,,,,,,,,
training_config.visualizer,Visualizer,collection,,,,,,,,,
training_config.visualizer.enabled,Enable,bool,Enable the visualizer or not,,,,,,,,
training_config.optimizer.sgd,,collection,One of SGD / ADAM / RMSPROP,,,,,,,,
training_config.optimizer.sgd.momentum,,float,,0.9,,,,,,,
training_config.optimizer.sgd.nesterov,,bool,,FALSE,,,,,,,
